Palabra,Etiqueta_POS
ser,AUX
sentidos,NOUN
se,PRON
robaron,VERB
de,ADP
la,DET
isla,NOUN
Palman,PROPN
á,ADP
la,DET
dicha,ADJ
hija,NOUN
de,ADP
aquel,DET
vecino,NOUN
",",PUNCT
con,ADP
la,DET
doncella,NOUN
",",PUNCT
ropa,NOUN
",",PUNCT
alhajas,NOUN
y,CCONJ
algún,DET
dinero,NOUN
",",PUNCT
volviendo,VERB
en,ADP
seguida,NOUN
al,ADP
navío,NOUN
muy,ADV
ocultamente,ADV
para,ADP
no,ADV
ser,AUX
sentidos,NOUN
ni,CCONJ
por,ADP
nuestro,DET
capitán,NOUN
",",PUNCT
Heinrich,PROPN
Paimen,PROPN
",",PUNCT
ni,CCONJ
por,ADP
otra,DET
persona,NOUN
alguna,ADJ
de,ADP
los,DET
del,ADP
navío,NOUN
;,PUNCT
sólo,ADV
la,DET
guardia,NOUN
se,PRON
apercibió,VERB
de,ADP
ello,PRON
",",PUNCT
por,ADP
ser,AUX
la,DET
media,NUM
noche,NOUN
.,PUNCT
"
",SPACE
Y,CCONJ
cuando,SCONJ
nos,PRON
hicimos,VERB
á,ADP
la,DET
vela,NOUN
de,ADP
mañana,ADV
",",PUNCT
antes,ADV
de,ADP
andar,VERB
más,ADV
de,ADP
unas,PRON
2,NUM
ó,CCONJ
3,NUM
millas,NOUN
(,PUNCT
leguas,NOUN
),PUNCT
se,PRON
armó,VERB
un,DET
fuerte,ADJ
temporal,ADJ
que,PRON
nos,PRON
obligó,VERB
á,ADP
volver,VERB
á,ADP
entrar,VERB
en,ADP
el,DET
mismo,DET
puerto,NOUN
de,ADP
donde,PRON
acabábamos,VERB
de,ADP
salir,VERB
.,PUNCT
Mas,PRON
después,ADV
que,SCONJ
largamos,VERB
nuestras,DET
anclas,NOUN
al,ADP
agua,NOUN
",",PUNCT
se,PRON
le,PRON
antojó,VERB
á,ADP
nuestro,DET
capitán,NOUN
",",PUNCT
el,DET
dicho,ADJ
Heinrich,PROPN
Paimen,PROPN
",",PUNCT
desembarcar,VERB
en,ADP
un,DET
pequeñoEn,NOUN
el,DET
mismo,DET
instante,NOUN
uno,PRON
de,ADP
su,DET
gente,NOUN
le,PRON
advirtió,VERB
que,SCONJ
no,ADV
saltase,VERB
á,ADP
tierra,NOUN
sino,CCONJ
que,SCONJ
se,PRON
volviese,VERB
á,ADP
bordo,NOUN
;,PUNCT
entonces,ADV
el,DET
capitán,NOUN
se,PRON
dispuso,VERB
regresar,VERB
al,ADP
navío,NOUN
",",PUNCT
mas,ADV
no,ADV
le,PRON
dieron,VERB
tiempo,NOUN
;,PUNCT
porque,SCONJ
los,DET
de,ADP
tierra,NOUN
se,PRON
le,PRON
habían,AUX
acercado,VERB
demasiado,ADV
en,ADP
otras,DET
barquillas,NOUN
",",PUNCT
que,PRON
estaban,VERB
allí,ADV
ya,ADV
preparadas,ADJ
:,PUNCT
con,ADP
esto,PRON
y,CCONJ
todo,PRON
logró,VERB
escapárseles,VERB
á,ADP
otro,DET
navío,NOUN
que,PRON
se,PRON
hallaba,VERB
más,ADV
cerca,ADV
de,ADP
la,DET
tierra,NOUN
.,PUNCT
Como,SCONJ
la,DET
gente,NOUN
no,ADV
pudo,AUX
tomarlo,VERB
en,ADP
seguida,NOUN
hicieron,VERB
tocar,VERB
á,ADP
rebato,NOUN
en,ADP
la,DET
ciudad,NOUN
de,ADP
Palman,PROPN
",",PUNCT
cargaron,VERB
2,NUM
piezas,NOUN
de,ADP
artillería,NOUN
gruesa,ADJ
",",PUNCT
y,CCONJ
con,ADP
ellas,PRON
hicieron,VERB
4,NUM
descargas,NOUN
contra,ADP
nuestro,DET
navío,NOUN
",",PUNCT
pues,SCONJ
nos,PRON
hallábamos,VERB
no,ADV
muy,ADV
distantes,ADJ
de,ADP
la,DET
tierra,NOUN
.,PUNCT
Con,ADP
el,DET
primer,ADJ
tiro,NOUN
nos,PRON
agujerearon,VERB
el,DET
canjilón,NOUN
que,PRON
estaba,VERB
en,ADP
la,DET
popa,NOUN
lleno,ADJ
de,ADP
agua,NOUN
fresca,ADJ
",",PUNCT
de,ADP
la,DET
que,PRON
se,PRON
derramaron,VERB
5,NUM
ó,CCONJ
6,NUM
baldadas,ADJ
.,PUNCT
Después,ADV
nos,PRON
hicieron,VERB
pedazos,NOUN
la,DET
mesana,NOUN
",",PUNCT
que,PRON
es,AUX
el,DET
último,ADJ
mástil,NOUN
",",PUNCT
el,DET
más,ADV
inmediato,ADJ
á,ADP
la,DET
popa,NOUN
.,PUNCT
El,DET
tercero,ADJ
nos,PRON
acertó,VERB
abriéndonos,VERB
un,DET
boquerón,NOUN
en,ADP
el,DET
costado,NOUN
del,ADP
navío,NOUN
",",PUNCT
y,CCONJ
nos,PRON
mató,VERB
un,DET
hombre,NOUN
.,PUNCT
El,DET
cuarto,ADJ
nos,PRON
erró,VERB
del,ADP
todo,PRON
.,PUNCT
"

",SPACE
Estaba,VERB
también,ADV
otro,DET
capitán,NOUN
presente,ADJ
que,PRON
tenía,VERB
su,DET
navío,NOUN
á,ADP
la,DET
par,NOUN
del,ADP
nuestro,PRON
",",PUNCT
con,ADP
rumbo,NOUN
á,ADP
New,PROPN
Hispanien,PROPN
(,PUNCT
Nueva,PROPN
España,PROPN
),PUNCT
(,PUNCT
ó,CCONJ
sea,NOUN
),PUNCT
Mechssekhen,PROPN
(,PUNCT
México,PROPN
):,PUNCT
este,PRON
se,PRON
hallaba,VERB
en,ADP
tierra,NOUN
con,ADP
150,NUM
hombres,NOUN
",",PUNCT
y,CCONJ
cuando,SCONJ
supo,VERB
de,ADP
nuestro,DET
combate,NOUN
",",PUNCT
trató,VERB
de,ADP
hacer,VERB
las,DET
paces,NOUN
entre,ADP
nosotros,PRON
y,CCONJ
los,DET
de,ADP
la,DET
ciudad,NOUN
",",PUNCT
bajo,ADP
la,DET
condición,NOUN
de,ADP
entregarles,VERB
las,DET
personas,NOUN
de,ADP
ton,NOUN
Jerg,PROPN
Manthossa,PROPN
",",PUNCT
la,DET
hija,NOUN
del,ADP
vecino,NOUN
y,CCONJ
su,DET
sirvienta,NOUN
.,PUNCT
No,ADV
tardaron,VERB
en,ADP
presentarse,VERB
el,DET
Stathalter,PROPN
(,PUNCT
Regidor,PROPN
),PUNCT
y,CCONJ
el,DET
Richter,PROPN
(,PUNCT
Alcalde,PROPN
),PUNCT
en,ADP
nuestro,DET
navío,NOUN
",",PUNCT
pretendiendo,VERB
llevarse,VERB
presos,NOUN
á,ADP
thon,PROPN
Jerg,PROPN
Manthossa,PROPN
y,CCONJ
á,ADP
sus,DET
cómplices,NOUN
.,PUNCT
Al,ADP
punto,NOUN
les,PRON
contestó,VERB
él,PRON
que,SCONJ
era,AUX
ella,PRON
su,DET
legítima,ADJ
mujer,NOUN
",",PUNCT
y,CCONJ
á,ADP
ella,PRON
no,ADV
se,PRON
le,PRON
ocurrió,VERB
decir,VERB
otra,DET
cosa,NOUN
",",PUNCT
casándose,VERB
en,ADP
seguida,ADJ
",",PUNCT
con,ADP
gran,ADJ
disgusto,NOUN
del,ADP
afligido,ADJ
padre,NOUN
;,PUNCT
y,CCONJ
nuestro,DET
navío,NOUN
quedó,VERB
muy,ADV
estropeado,ADJ
de,ADP
resultas,NOUN
de,ADP
los,DET
balazos,NOUN
.,PUNCT
"

",SPACE
CAPÍTULO,PROPN
III,PROPN
"
",SPACE
VIAJE,PROPN
DE,ADP
LA,DET
PALMA,PROPN
Á,PROPN
SANTIAGO,PROPN
"

",SPACE
Después,ADV
de,ADP
todo,DET
esto,PRON
dejamos,VERB
en,ADP
tierra,NOUN
á,ADP
ton,NOUN
Jerg,PROPN
Manthossa,PROPN
y,CCONJ
á,ADP
su,DET
mujer,NOUN
",",PUNCT
porque,SCONJ
nuestro,DET
capitán,NOUN
no,ADV
quería,VERB
tenerlos,VERB
más,ADV
á,ADP
su,DET
bordo,NOUN
.,PUNCT
"
",SPACE
Volvimos,VERB
á,ADP
aprestar,VERB
nuestro,DET
navío,NOUN
y,CCONJ
navegamos,VERB
hasta,ADP
llegar,VERB
á,ADP
una,DET
isla,NOUN
ó,CCONJ
tierra,NOUN
que,PRON
se,PRON
llama,VERB
de,ADP
San,PROPN
Jacob,PROPN
",",PUNCT
ó,CCONJ
sea,AUX
en,ADP
español,NOUN
Augo,PROPN
(,PUNCT
Santiago,PROPN
):,PUNCT
es,AUX
una,DET
ciudad,NOUN
que,PRON
depende,VERB
del,ADP
rey,NOUN
de,ADP
Portugal,PROPN
;,PUNCT
los,DET
Portugueses,PROPN
mandan,VERB
en,ADP
el,DET
pueblo,NOUN
y,CCONJ
los,DET
Negros,PROPN
les,PRON
sirven,VERB
.,PUNCT
Esta,DET
ciudad,NOUN
está,AUX
á,ADP
300,NUM
millas,NOUN
(,PUNCT
leguas,NOUN
),PUNCT
de,ADP
la,DET
dicha,ADJ
isla,NOUN
de,ADP
Polman,PROPN
(,PUNCT
la,DET
Palma,PROPN
),PUNCT
de,ADP
donde,PRON
habíamos,AUX
salido,VERB
.,PUNCT
Permanecimos,VERB
allí,ADV
5,NUM
días,NOUN
",",PUNCT
y,CCONJ
de,ADP
nuevo,ADJ
abastecimos,VERB
el,DET
navío,NOUN
de,ADP
provisiones,NOUN
frescas,ADJ
y,CCONJ
de,ADP
mesa,NOUN
",",PUNCT
como,SCONJ
ser,NOUN
:,PUNCT
pan,NOUN
",",PUNCT
carne,NOUN
",",PUNCT
agua,NOUN
y,CCONJ
todo,DET
lo,PRON
demás,PRON
que,PRON
se,PRON
necesita,VERB
en,ADP
alta,NOUN
mar,NOUN
.,PUNCT
"

",SPACE
CAPÍTULO,PROPN
IV,PROPN
"
",SPACE
VIAJAN,PROPN
POR,ADP
ALTA,PROPN
MAR,PROPN
Y,CCONJ
DESCRIBE,PROPN
SUS,DET
MARAVILLAS,PROPN
"
",SPACE
Así,ADV
toda,DET
la,DET
flota,NOUN
",",PUNCT
á,ADP
saber,VERB
los,DET
14,NUM
navíos,NOUN
",",PUNCT
se,PRON
volvieron,VERB
á,ADP
reunir,VERB
.,PUNCT
Nuevamente,ADV
salimos,VERB
mar,NOUN
afuera,ADV
y,CCONJ
navegamos,VERB
por,ADP
dos,NUM
meses,NOUN
hasta,ADP
que,SCONJ
arribamos,VERB
á,ADP
una,DET
isla,NOUN
en,ADP
que,PRON
no,ADV
había,AUX
más,ADV
que,SCONJ
aves,NOUN
que,PRON
matábamos,VERB
á,ADP
garrotazos,NOUN
.,PUNCT
En,ADP
este,DET
lugar,NOUN
demoramos,VERB
3,NUM
días,NOUN
.,PUNCT
La,DET
isla,NOUN
está,VERB
del,ADP
todo,PRON
despoblada,ADJ
;,PUNCT
tiene,VERB
de,ADP
ancho,NOUN
y,CCONJ
largo,ADJ
unas,PRON
6,NUM
millas,NOUN
(,PUNCT
leguas,NOUN
),PUNCT
á,ADP
todo,DET
viento,NOUN
y,CCONJ
dista,ADJ
de,ADP
la,DET
susodicha,ADJ
isla,NOUN
de,ADP
San,PROPN
Augo,PROPN
(,PUNCT
Santiago,PROPN
),PUNCT
",",PUNCT
de,ADP
donde,PRON
habíamos,AUX
partido,NOUN
",",PUNCT
1.500,NUM
millas,NOUN
(,PUNCT
leguas,NOUN
),PUNCT
.,PUNCT
"
",SPACE
En,ADP
este,DET
mar,NOUN
hay,AUX
peces,NOUN
voladores,ADJ
",",PUNCT
y,CCONJ
otros,PRON
muy,ADV
grandes,ADJ
de,ADP
la,DET
especie,NOUN
de,ADP
las,DET
ballenas,NOUN
;,PUNCT
otros,PRON
también,ADV
grandes,ADJ
",",PUNCT
llamados,ADJ
Ichaub-huet-fischs,PROPN
(,PUNCT
pez,NOUN
sombrero,NOUN
de,ADP
paja,NOUN
),PUNCT
en,ADP
razón,NOUN
de,ADP
que,SCONJ
un,DET
disco,NOUN
extremadamente,ADV
grande,ADJ
les,PRON
tapa,VERB
la,DET
cabeza,NOUN
",",PUNCT
con,ADP
el,DET
que,PRON
pueden,AUX
ofender,VERB
á,ADP
los,DET
demás,DET
peces,NOUN
en,ADP
sus,DET
peleas,NOUN
.,PUNCT
Son,AUX
peces,NOUN
de,ADP
mucha,DET
fuerza,NOUN
y,CCONJ
muy,ADV
malos,ADJ
.,PUNCT
Otros,PRON
hay,AUX
de,ADP
cuyo,PRON
lomo,NOUN
nace,VERB
una,DET
especie,NOUN
de,ADP
cuchilla,NOUN
de,ADP
hueso,NOUN
de,ADP
ballena,NOUN
",",PUNCT
y,CCONJ
se,PRON
llaman,VERB
en,ADP
castellano,NOUN
pes,PROPN
espade,PROPN
(,PUNCT
pez,NOUN
espada,ADJ
),PUNCT
;,PUNCT
y,CCONJ
más,ADV
otros,PRON
con,ADP
un,DET
serrucho,NOUN
de,ADP
hueso,NOUN
de,ADP
ballena,NOUN
que,PRON
también,ADV
arranca,VERB
del,ADP
lomo,NOUN
;,PUNCT
son,AUX
malos,ADJ
y,CCONJ
grandes,ADJ
:,PUNCT
se,PRON
llaman,VERB
pese,NOUN
de,ADP
sere,PROPN
(,PUNCT
pez,NOUN
sierra,NOUN
),PUNCT
.,PUNCT
Aparte,ADV
de,ADP
estos,PRON
son,AUX
muchos,PRON
los,DET
peces,NOUN
raros,ADJ
que,PRON
hay,AUX
",",PUNCT
cuya,PRON
forma,NOUN
",",PUNCT
tamaño,NOUN
y,CCONJ
cualidades,NOUN
no,ADV
puedo,AUX
describir,VERB
yo,PRON
en,ADP
esta,DET
vez,NOUN
.,PUNCT
"

",SPACE
CAPÍTULO,PROPN
V,PROPN
"
",SPACE
LLEGADA,PROPN
Á,PROPN
RÍO,PROPN
DEL,ADP
JANEIRO,PROPN
Y,CCONJ
MUERTE,PROPN
DE,ADP
OSORIO,PROPN
"
",SPACE
Después,ADV
navegamos,VERB
de,ADP
esta,DET
isla,NOUN
á,ADP
otra,PRON
que,PRON
se,PRON
llama,VERB
Río,PROPN
Genna,PROPN
(,PUNCT
Río,PROPN
Janeiro,PROPN
),PUNCT
á,ADP
500,NUM
millas,NOUN
de,ADP
la,DET
anterior,ADJ
",",PUNCT
dependencia,NOUN
del,ADP
rey,NOUN
de,ADP
Portugal,PROPN
:,PUNCT
esta,PRON
es,AUX
la,DET
isla,NOUN
de,ADP
Rio,PROPN
Genna,PROPN
(,PUNCT
Río,PROPN
del,ADP
Janeiro,PROPN
),PUNCT
en,ADP
Inndia,PROPN
(,PUNCT
Indias,PROPN
),PUNCT
y,CCONJ
los,DET
Indios,PROPN
se,PRON
llaman,VERB
Thopiss,PROPN
(,PUNCT
Tupís,PROPN
),PUNCT
.,PUNCT
Allí,ADV
nos,PRON
quedamos,VERB
unos,PRON
14,NUM
días,NOUN
.,PUNCT
Fué,VERB
aquí,ADV
que,SCONJ
thonn,PROPN
Pietro,PROPN
Manthossa,PROPN
",",PUNCT
nuestro,DET
capitán,NOUN
general,ADJ
",",PUNCT
dispuso,VERB
que,SCONJ
Hanss,PROPN
Ossorio,PROPN
(,PUNCT
Juan,PROPN
de,ADP
Osorio,PROPN
),PUNCT
",",PUNCT
como,SCONJ
que,SCONJ
era,AUX
su,DET
hermano,NOUN
adoptivo,ADJ
",",PUNCT
nos,PRON
mandase,VERB
en,ADP
calidad,NOUN
de,ADP
su,DET
lugarteniente,NOUN
;,PUNCT
porque,SCONJ
él,PRON
seguía,VERB
siempre,ADV
sin,ADP
acción,NOUN
",",PUNCT
tullido,ADJ
y,CCONJ
enfermo,NOUN
.,PUNCT
Así,ADV
las,DET
cosas,NOUN
él,PRON
",",PUNCT
Hans,PROPN
(,PUNCT
Juan,PROPN
),PUNCT
Ossorio,PROPN
",",PUNCT
no,ADV
tardó,VERB
en,ADP
ser,AUX
malquistadoy,NOUN
calumniado,ADJ
ante,ADP
thonn,PROPN
Pietro,PROPN
Manthossa,PROPN
",",PUNCT
su,DET
hermano,NOUN
jurado,ADJ
",",PUNCT
y,CCONJ
la,DET
acusación,NOUN
era,AUX
que,SCONJ
trataba,VERB
de,ADP
sublevarle,VERB
la,DET
gente,NOUN
á,ADP
thonn,PROPN
Pietro,PROPN
Manthossa,PROPN
",",PUNCT
el,DET
capitán,NOUN
general,ADJ
.,PUNCT
Con,ADP
este,DET
pretexto,NOUN
él,PRON
",",PUNCT
thonn,PROPN
Pietro,PROPN
Manthossa,PROPN
",",PUNCT
ordenó,VERB
á,ADP
otros,PRON
4,NUM
capitanes,NOUN
llamados,ADJ
Joan,PROPN
Eyolas,PROPN
(,PUNCT
Ayolas,PROPN
),PUNCT
",",PUNCT
Hanns,PROPN
Salesser,PROPN
(,PUNCT
Juan,PROPN
Salazar,PROPN
),PUNCT
",",PUNCT
Jerg,PROPN
Luchllem,PROPN
(,PUNCT
Jorge,PROPN
Luján,PROPN
),PUNCT
y,CCONJ
Lazarus,PROPN
Sallvaischo,PROPN
que,PRON
matasen,VERB
al,ADP
dicho,ADJ
Hanns,PROPN
Assario,PROPN
(,PUNCT
Juan,PROPN
Osorio,PROPN
),PUNCT
á,ADP
puñaladas,NOUN
",",PUNCT
ó,CCONJ
como,SCONJ
mejor,ADV
pudiesen,VERB
",",PUNCT
y,CCONJ
que,SCONJ
lo,PRON
tirasen,VERB
al,ADP
medio,NOUN
de,ADP
la,DET
plaza,NOUN
por,ADP
traidor,NOUN
.,PUNCT
Más,ADV
aún,ADV
",",PUNCT
hizo,VERB
publicar,VERB
por,ADP
bando,NOUN
que,SCONJ
nadie,PRON
osase,VERB
compadecerse,VERB
de,ADP
Assirio,PROPN
(,PUNCT
Osorio,PROPN
),PUNCT
so,ADP
pena,NOUN
de,ADP
correr,VERB
la,DET
misma,DET
suerte,NOUN
",",PUNCT
fuere,VERB
quien,PRON
fuere,AUX
.,PUNCT
Se,PRON
le,PRON
hizo,VERB
injusticia,NOUN
",",PUNCT
como,SCONJ
lo,PRON
sabe,VERB
Dios,PROPN
el,DET
Todopoderoso,PROPN
",",PUNCT
y,CCONJ
que,SCONJ
El,DET
lo,PRON
favorezca,VERB
;,PUNCT
porque,SCONJ
fué,AUX
aquel,DET
un,DET
hombre,NOUN
piadoso,ADJ
y,CCONJ
recto,ADJ
",",PUNCT
buen,ADJ
soldado,NOUN
",",PUNCT
que,PRON
sabía,VERB
mantener,VERB
el,DET
orden,NOUN
y,CCONJ
disciplina,NOUN
entre,ADP
la,DET
gente,NOUN
de,ADP
pelea,NOUN
.,PUNCT
"

",SPACE
CAPÍTULO,PROPN
VI,PROPN
"
",SPACE
LLEGAN,PROPN
AL,ADP
RÍO,PROPN
DE,ADP
LA,DET
PLATA,PROPN
Y,CCONJ
PUERTO,PROPN
DE,ADP
SAN,PROPN
GABRIEL,PROPN
.,PUNCT
LOS,DET
CHARRÚA,PROPN
.,PUNCT
"
",SPACE
De,ADP
allí,ADV
navegamos,VERB
al,ADP
Rio,PROPN
de,ADP
le,PRON
Platta,PROPN
y,CCONJ
dimos,VERB
con,ADP
una,DET
corriente,NOUN
de,ADP
agua,NOUN
dulce,ADJ
",",PUNCT
que,PRON
se,PRON
llama,VERB
Parnau,PROPN
Wassu,PROPN
(,PUNCT
Paraná,PROPN
Guazú,PROPN
),PUNCT
",",PUNCT
y,CCONJ
tiene,VERB
de,ADP
ancho,NOUN
en,ADP
la,DET
boca,NOUN
",",PUNCT
donde,PRON
deja,VERB
de,ADP
ser,AUX
mar,NOUN
",",PUNCT
una,DET
extensión,NOUN
de,ADP
42,NUM
millas,NOUN
(,PUNCT
leguas,NOUN
),PUNCT
de,ADP
camino,NOUN
",",PUNCT
y,CCONJ
desde,ADP
Río,PROPN
Gena,PROPN
a,ADP
esta,DET
agua,NOUN
se,PRON
cuentan,VERB
500,NUM
millas,NOUN
(,PUNCT
leguas,NOUN
),PUNCT
de,ADP
camino,NOUN
.,PUNCT
"
",SPACE
En,ADP
seguida,NOUN
arribamos,VERB
á,ADP
una,DET
bahía,NOUN
que,PRON
se,PRON
llama,VERB
Sannt,PROPN
Gabriehel,PROPN
(,PUNCT
San,PROPN
Gabriel,PROPN
),PUNCT
y,CCONJ
allí,ADV
en,ADP
la,DET
susodicha,ADJ
agua,NOUN
corriente,ADJ
Parnau,PROPN
largamos,VERB
las,DET
anclas,NOUN
de,ADP
nuestros,DET
14,NUM
navíos,NOUN
.,PUNCT
Y,CCONJ
como,SCONJ
tuviésemos,VERB
que,SCONJ
hacer,VERB
quedar,VERB
los,DET
navíos,NOUN
mayores,ADJ
á,ADP
un,DET
tiro,NOUN
de,ADP
arcabuz,NOUN
de,ADP
la,DET
tierra,NOUN
",",PUNCT
nuestro,DET
general,NOUN
Pietro,PROPN
Manthossa,PROPN
había,AUX
ordenado,VERB
y,CCONJ
mandado,VERB
que,SCONJ
los,DET
marineros,NOUN
